pool,game_file,source_file,source_page,original_url,license,license_url,author,date,description,origin,original_size
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_001_1920x1080.png,US Army Special Forces helping with Colombian parachuters.jpg,https://commons.wikimedia.org/wiki/File:US_Army_Special_Forces_helping_with_Colombian_parachuters.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/US_Army_Special_Forces_helping_with_Colombian_parachuters.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,SSGT KENRICK R. THOMAS,1985-06-29,A member of the US Army Special Forces demonstrates the correct technique for a helicopter-assisted patrol extraction to Colombian paratroopers during the joint US and Columbian counterinsurgency Exercise FUERZAS UNITAS '85.,"Joint U.S.-Colombian counterinsurgency exercise, Colombia",3000x1979
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_002_1920x1080.png,US Army Special Forces inspect Clombian paratroopers.jpg,https://commons.wikimedia.org/wiki/File:US_Army_Special_Forces_inspect_Clombian_paratroopers.jpg,https://upload.wikimedia.org/wikipedia/commons/3/32/US_Army_Special_Forces_inspect_Clombian_paratroopers.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,SSGT KENRICK R. THOMAS,1985-06-29,US Army Special Forces Soldiers inspect the parachutes worn by Colombian paratroopers during the joint US and Colombian counterinsurgency Exercise FUERZAS UNITAS '85.,"Joint U.S.-Colombian counterinsurgency exercise, Colombia",3000x1993
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_001_1920x1080.png,Defense.gov News Photo 100802-M-9093S-030 - U.S. Marine Corps Cpl. Blaho instructs his squad on where to cross a river while training with Colombian marines on jungle warfare in Colombia on.jpg,https://commons.wikimedia.org/wiki/File:Defense.gov_News_Photo_100802-M-9093S-030_-_U.S._Marine_Corps_Cpl._Blaho_instructs_his_squad_on_where_to_cross_a_river_while_training_with_Colombian_marines_on_jungle_warfare_in_Colombia_on.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Defense.gov_News_Photo_100802-M-9093S-030_-_U.S._Marine_Corps_Cpl._Blaho_instructs_his_squad_on_where_to_cross_a_river_while_training_with_Colombian_marines_on_jungle_warfare_in_Colombia_on.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"Cpl Brian J. Slaght, U.S. Marine Corps",Taken on 2 August 2010,"U.S. Marine Corps Cpl. Blaho instructs his squad on where to cross a river while training with Colombian marines on jungle warfare in Colombia on Aug. 2, 2010. The Marines are participating in Partnership of the Americas/Southern Exchange, a combined amphibious exercise designed to enhance cooperative partnerships with participating maritime forces. Blaho is with 4th Platoon, Charlie Company, 3rd Assault Amphibian Battalion, 1st Marine Division.",Jungle warfare training with Colombian marines,4704x3136
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_003_1920x1080.png,Salvadoran troops exit from a US Army CH-47 Chinook helicopter while practicing helicopter assault tactics with members of the 7th Special Forces during Exercise GRANADERO I DF-ST-85-13156.jpg,https://commons.wikimedia.org/wiki/File:Salvadoran_troops_exit_from_a_US_Army_CH-47_Chinook_helicopter_while_practicing_helicopter_assault_tactics_with_members_of_the_7th_Special_Forces_during_Exercise_GRANADERO_I_DF-ST-85-13156.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/Salvadoran_troops_exit_from_a_US_Army_CH-47_Chinook_helicopter_while_practicing_helicopter_assault_tactics_with_members_of_the_7th_Special_Forces_during_Exercise_GRANADERO_I_DF-ST-85-13156.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,SSGT Lemuel Casillas,1984-05-14,Salvadoran troops exit from a US Army CH-47 Chinook helicopter while practicing helicopter assault tactics with members of the 7th Special Forces during Exercise GRANADERO I.,Salvadoran troops during Exercise Granadero I,2882x1906
AR,Data-Vengeance/Loadscreens/RealConflict/AR/AR_001_1920x1080.png,PanamaJustCause1991.jpg,https://commons.wikimedia.org/wiki/File:PanamaJustCause1991.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/PanamaJustCause1991.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,DoD photo by PH1 Elliott,1989-12-20,"Marines of Company D, 2nd Light Armored Infantry Battalion, stand guard with their LAV-25 light armored vehicles outside a destroyed Panamanian Defense Force building during the first day of Operation Just Cause.",Operation Just Cause,2800x1850
TM,Data-Vengeance/Loadscreens/RealConflict/TM/TM_001_1920x1080.png,US Marines at Grenville town Grenada 1983.JPEG,https://commons.wikimedia.org/wiki/File:US_Marines_at_Grenville_town_Grenada_1983.JPEG,https://upload.wikimedia.org/wikipedia/commons/7/7c/US_Marines_at_Grenville_town_Grenada_1983.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,JO1 Sundberg,1983-10-25,"U.S. Marines patrol Grenville town on Grenada during ""Operation Urgent Fury"", 25 October 1983.",Operation Urgent Fury,2850x1880
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_004_1920x1080.png,82nd Airborne soldiers on Grenada 1983.jpg,https://commons.wikimedia.org/wiki/File:82nd_Airborne_soldiers_on_Grenada_1983.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/82nd_Airborne_soldiers_on_Grenada_1983.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"Sgt. Michael Bogdanowicz, U.S. Army",1983-10-25,"U.S. Army soldiers of 1st Platoon A Co. 1st Bn ABN/508th Inf,82d Airborne Division on patrol on Grenada during ""Operation Urgent Fury"" in October 1983. Two of the soldiers (Spc/4 Mitchel facing left foreground) on the road have M47 Dragon antitank weapons.",Operation Urgent Fury,3000x2290
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_005_1920x1080.png,UH-60As over Port Salines airport Grenada 1983.JPEG,https://commons.wikimedia.org/wiki/File:UH-60As_over_Port_Salines_airport_Grenada_1983.JPEG,https://upload.wikimedia.org/wikipedia/commons/6/6c/UH-60As_over_Port_Salines_airport_Grenada_1983.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,SPC Douglas Ide,1983-10-25,"Three U.S. Army Sikorsky UH-60A Black Hawk helicopters prepare to touch down next to the Point Salines airport runway during ""Operation Urgent Fury"" on 25 October 1983.",Operation Urgent Fury,2810x1850
CT,Data-Vengeance/Loadscreens/RealConflict/CT/CT_001_1920x1080.png,St.GeorgeGrenada1983.jpg,https://commons.wikimedia.org/wiki/File:St.GeorgeGrenada1983.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/St.GeorgeGrenada1983.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,PH2 D. Wujcik,1983-10-31,"Die Hauptstadt Grenadas, Foto von 1983. Originaltext: A view overlooking St. Georges","St. George's, Grenada during Operation Urgent Fury",2850x1900
RU,Data-Vengeance/Loadscreens/RealConflict/RU/RU_001_1920x1080.png,Salvadoran Army 4th Brigade barracks after an attack in 1983.png,https://commons.wikimedia.org/wiki/File:Salvadoran_Army_4th_Brigade_barracks_after_an_attack_in_1983.png,https://upload.wikimedia.org/wikipedia/commons/b/bb/Salvadoran_Army_4th_Brigade_barracks_after_an_attack_in_1983.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Unknown author Unknown author,1983-12,"Damage to the Fourth Infantry Brigade compound from guerrilla attack, El Paraíso, Chalatenango Department, December 1983",Salvadoran Civil War,1220x862
