event,files,voice_folders,numbered_variants
FIRE_GUN,153,45,108
FIRE_LAUNCHER,113,47,68
ATTACK_BLADE,79,36,43
ATTACK_HTH,78,36,42
THROW_KNIFE,50,30,20
THROW_GRENADE,194,47,147
OUT_OF_AMMO,103,43,60
RELOAD,92,36,56
STEAL,65,34,31
CHARGE_BLADE,55,23,32
CHARGE_HTH,62,25,37
RUN_AWAY,202,48,154
SEEK_NOISE,196,46,150
ALERT,214,56,158
SUSPICIOUS,166,48,118
NOTICED_UNSEEN,223,48,175
SAY_HI,243,51,192
INFORM_ABOUT,235,48,187
GOT_HIT,109,46,63
GOT_HIT_GUNFIRE,143,43,100
GOT_HIT_BLADE,69,38,31
GOT_HIT_HTH,70,31,39
GOT_HIT_FALLROOF,44,22,22
GOT_HIT_BLOODLOSS,126,42,84
GOT_HIT_EXPLOSION,88,43,45
GOT_HIT_GAS,120,42,78
GOT_HIT_TENTACLES,51,22,29
GOT_HIT_STRUCTURE_EXPLOSION,45,23,22
GOT_HIT_OBJECT,44,21,23
GOT_HIT_THROWING_KNIFE,51,28,23
GOT_DEAFENED,60,39,21
GOT_BLINDED,107,44,63
GOT_ROBBED,77,36,41
GOT_MISSED,135,46,89
GOT_MISSED_GUNFIRE,240,49,191
GOT_MISSED_BLADE,66,34,32
GOT_MISSED_HTH,96,39,57
GOT_MISSED_THROWING_KNIFE,89,41,48
HIT,99,40,59
HIT_GUNFIRE,101,39,62
HIT_BLADE,40,17,23
HIT_HTH,61,23,38
HIT_EXPLOSION,77,39,38
HIT_THROWING_KNIFE,40,18,22
KILL,191,48,143
KILL_GUNFIRE,144,45,99
KILL_BLADE,77,38,39
KILL_HTH,89,41,48
KILL_THROWING_KNIFE,60,37,23
HEAD_POP,109,45,64
MISS,83,31,52
MISS_GUNFIRE,53,25,28
MISS_BLADE,27,8,19
MISS_HTH,27,8,19
MISS_THROWING_KNIFE,28,10,18
RIPOSTE,55,21,34
